Date,Oil_Price,EUR_USD,USD_CHF,Europe_Stock
,CL=F,EURUSD=X,USDCHF=X,^STOXX50E
2007-03-30,65.87000274658203,1.3358982801437378,1.2137000560760498,4181.02978515625
2007-04-02,65.94000244140625,1.337005615234375,1.2148000001907349,4189.5498046875
2007-04-03,64.63999938964844,1.33249831199646,1.22284996509552,4246.2998046875
2007-04-04,64.37999725341797,1.3373990058898926,1.2193000316619873,4261.830078125
2007-04-05,64.27999877929688,1.3432012796401978,1.2148000001907349,4271.5400390625
2007-04-10,61.88999938964844,1.3432012796401978,1.2173999547958374,4301.47021484375
2007-04-11,62.0099983215332,1.3439956903457642,1.2199000120162964,4293.2001953125
2007-04-12,63.849998474121094,1.3491089344024658,1.2160999774932861,4280.02001953125
2007-04-13,63.630001068115234,1.3521004915237427,1.2146999835968018,4317.35009765625
2007-04-16,63.61000061035156,1.3529053926467896,1.2145999670028687,4379.25
2007-04-17,63.099998474121094,1.3572019338607788,1.208799958229065,4384.3798828125
2007-04-18,63.130001068115234,1.361396312713623,1.2029999494552612,4358.9501953125
2007-04-19,61.83000183105469,1.362434983253479,1.2046799659729004,4339.93017578125
2007-04-20,63.380001068115234,1.3588987588882446,1.2071000337600708,4416.7900390625
2007-04-23,65.88999938964844,1.3584003448486328,1.2086999416351318,4400.1201171875
2007-04-24,64.58000183105469,1.3636053800582886,1.2010999917984009,4367.830078125
2007-04-25,65.83999633789062,1.3639029264450073,1.2057000398635864,4404.43994140625
2007-04-26,65.05999755859375,1.3588987588882446,1.2086999416351318,4414.2099609375
2007-04-27,66.45999908447266,1.3655046224594116,1.2055000066757202,4383.1298828125
2007-04-30,65.70999908447266,1.3652063608169556,1.2062000036239624,4392.33984375
2007-05-02,63.68000030517578,1.3588064908981323,1.2143000364303589,4415.47998046875
2007-05-03,63.189998626708984,1.3556013107299805,1.21589994430542,4427.31982421875
2007-05-04,61.93000030517578,1.3588987588882446,1.2096999883651733,4445.58984375
2007-05-07,61.470001220703125,1.360007643699646,1.2115999460220337,4441.31005859375
2007-05-08,62.2599983215332,1.3540961742401123,1.2180999517440796,4411.31982421875
2007-05-10,61.810001373291016,1.3483085632324219,1.2197999954223633,4391.8701171875
2007-05-11,62.369998931884766,1.3521004915237427,1.2180999517440796,4423.06982421875
2007-05-14,62.459999084472656,1.3542977571487427,1.2186000347137451,4413.72021484375
2007-05-15,63.16999816894531,1.3596007823944092,1.2147300243377686,4441.02978515625
2007-05-16,62.54999923706055,1.3523930311203003,1.2222000360488892,4422.6201171875
2007-05-18,64.94000244140625,1.3512965440750122,1.2269999980926514,4480.81005859375
2007-05-21,66.2699966430664,1.3466018438339233,1.2299000024795532,4465.5400390625
2007-05-22,64.97000122070312,1.3452069759368896,1.229699969291687,4469.8798828125
2007-05-23,65.7699966430664,1.3458044528961182,1.2274999618530273,4499.68994140625
2007-05-24,64.18000030517578,1.3430029153823853,1.2274999618530273,4452.7001953125
2007-05-25,65.19999694824219,1.3450080156326294,1.2268999814987183,4463.52001953125
2007-05-29,63.150001525878906,1.3445920944213867,1.225000023841858,4474.81005859375
2007-05-30,63.4900016784668,1.3432012796401978,1.2258000373840332,4468.72021484375
2007-05-31,64.01000213623047,1.3456052541732788,1.225100040435791,4512.64990234375
2007-06-01,65.08000183105469,1.3441944122314453,1.23580002784729,4556.97021484375
2007-06-04,66.20999908447266,1.349199891090393,1.2226999998092651,4537.81005859375
2007-06-05,65.61000061035156,1.3520090579986572,1.218000054359436,4513.18017578125
2007-06-06,65.95999908447266,1.3492909669876099,1.2166999578475952,4437.2900390625
2007-06-07,66.93000030517578,1.3428045511245728,1.2238999605178833,4381.4501953125
2007-06-08,64.76000213623047,1.3360053300857544,1.2346999645233154,4376.419921875
2007-06-11,65.97000122070312,1.335594892501831,1.2381000518798828,4415.5
2007-06-12,65.3499984741211,1.3306012153625488,1.2417999505996704,4383.02001953125
2007-06-13,66.26000213623047,1.3310085535049438,1.24399995803833,4401.68017578125
2007-06-14,67.6500015258789,1.33159339427948,1.2460999488830566,4485.0400390625
2007-06-15,68.0,1.3379000425338745,1.2418999671936035,4551.0
2007-06-18,69.08999633789062,1.341597557067871,1.2416000366210938,4530.22021484375
2007-06-19,69.0999984741211,1.3424079418182373,1.2402000427246094,4527.22021484375
2007-06-20,68.19000244140625,1.3396027088165283,1.2383999824523926,4545.60986328125
2007-06-21,68.6500015258789,1.3394052982330322,1.2411999702453613,4488.66015625
2007-06-22,69.13999938964844,1.347091555595398,1.229200005531311,4479.35986328125
2007-06-25,69.18000030517578,1.3468012809753418,1.2279000282287598,4471.1298828125
2007-06-26,67.7699966430664,1.3448994159698486,1.228600025177002,4433.0400390625
2007-06-27,68.97000122070312,1.345496654510498,1.229200005531311,4412.1201171875
2007-06-28,69.56999969482422,1.344700574874878,1.2314000129699707,4457.990234375
2007-06-29,70.68000030517578,1.3536012172698975,1.221500039100647,4489.77001953125
2007-07-02,71.08999633789062,1.363493800163269,1.2094000577926636,4470.259765625
2007-07-03,71.41000366210938,1.3611923456192017,1.2157800197601318,4513.009765625
